Date,UBSFY,EA,TTWO,,FTSE,,ATVI,NTDOY,SNE
2020/7/10,17.52,140.809998,153.910004,,6176.200195,,81.269997,57.290001,73.940002
2020/7/13,16.610001,135.309998,146.820007,,6179.799805,,77.949997,56.700001,74.360001
2020/7/14,16.49,138.529999,151.050003,,6292.700195,,79.769997,56.389999,74.519997
2020/7/15,16.389999,138.429993,151.279999,,6250.700195,,79.150002,56.810001,76.830002
2020/7/16,15.96,138.050003,150.309998,,6290.299805,,79.370003,55.950001,76.800003
2020/7/17,15.65,138.309998,150.580002,,6261.5,,78.639999,55.84,76.080002
2020/7/20,15.9,141.529999,154.699997,,6269.700195,,81.160004,55.27,78.18
2020/7/21,16.129999,139.339996,153.059998,,6207.100098,,80.760002,55.490002,77.309998
2020/7/22,16.450001,138.300003,154.050003,,6211.399902,,81.099998,55.25,77.349998
2020/7/23,16.77,135.360001,151.479996,,6123.799805,,79.610001,55,76.419998
2020/7/24,16.49,135.240005,156.020004,,6104.899902,,79.989998,55.259998,76.459999
2020/7/27,16.530001,136.160004,159.240005,,6129.299805,,81.629997,56.599998,78.529999
2020/7/28,16.4,134.779999,156.410004,,6131.5,,80.720001,56.060001,77.620003
2020/7/29,16.67,135.929993,157.820007,,5990,,81.199997,56.860001,78.349998
2020/7/30,16.459999,138.589996,159.559998,,5897.799805,,81.699997,56.369999,78.519997
2020/7/31,16.65,141.619995,164.020004,,6032.899902,,82.629997,55.009998,77.959999
2020/8/3,16.82,142.360001,167.690002,,6036,,84.790001,55.959999,81.269997
2020/8/4,16.799999,146.320007,177.520004,,6104.700195,,86.449997,57.049999,83.370003
2020/8/5,16.58,146.179993,176.020004,,6026.899902,,84.32,58.740002,81.25
2020/8/6,16.549999,146.949997,177.339996,,6032.200195,,86.839996,61.32,80.470001
2020/8/7,16.379999,143.990005,174.960007,,6050.600098,,82.470001,59.130001,80.029999
2020/8/10,15.97,140.699997,174.729996,,6154.299805,,82.260002,59.25,80.050003
2020/8/11,16.049999,135.699997,167.110001,,6280.100098,,79.120003,58.450001,79.330002
2020/8/12,16.120001,139.899994,168.110001,,6185.600098,,81.709999,60.07,80.739998
2020/8/13,16.42,141.770004,171.279999,,6090,,81.290001,59.950001,82.669998
2020/8/14,16.25,140.429993,173.410004,,6127.399902,,80.400002,59.959999,82.93
