date,SMB,HML
2012-11-30,0.01704607436415495,0.05464906375392069
2012-12-31,0.027376711131402075,0.024575452618462716
2013-01-31,0.04154509668318137,-0.003151483956584534
2013-02-28,0.027100063246376874,-0.03542204167452629
2013-03-31,-0.01196667147974052,-0.0142893047235646
2013-04-30,0.0659818100774993,0.00246458444002641
2013-05-31,-0.01617926862529892,-0.06324715917198694
2013-06-30,0.04755308539112695,-0.009508630137250118
2013-07-31,0.04554034942714207,0.039233070475562105
2013-08-31,0.0065576800793526804,-0.0007020476506342452
2013-09-30,0.015353353880208268,0.03398503838934679
2013-10-31,0.047735986623626644,0.005364776419505349
2013-11-30,0.010052972727191436,-0.0007164083724853186
2013-12-31,0.04658093969489391,-0.051911289777106594
2014-01-31,0.045596953114932115,0.02060938643948685
2014-02-28,0.02030247471516391,0.047160807743816244
