date,SMB,HML,MKT
2015-12-31,-0.018274031360583698,-0.03571941860357811,-3.0769949615756595
2016-02-29,0.06217403932720991,0.04228093331715972,-2.619443417220311
2016-03-31,0.04551740668536096,0.014271648701920827,-2.810184393667177
2016-05-31,0.03778039028947139,-0.003494897192965085,-2.784102566322143
2016-06-30,-0.01266175016392047,0.04816230196361676,-2.887381160772703
2016-08-31,0.032252500295918494,0.008739582673711402,-2.699636647538646
2016-09-30,0.02690427569298753,0.015050250693348727,-2.699055975748636
2016-10-31,0.01771369439537059,0.04028473056771041,-2.7080085671848413
2016-11-30,0.018290210198391527,0.011131630195702697,-2.912673855666592
2017-02-28,-0.029662058497381426,-0.011585305619605087,-4.090678357623013
2017-03-31,-0.05428444447908401,-0.00015754661485621602,-4.40450319409344
