code,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,v_ma5,v_ma10,v_ma20,turnover
000002,2017-09-14,25.78,28.06,27.56,25.55,1150696.12,1.8,6.99,25.93,24.902,687792.52,629040.87,524644.26,1.19
000002,2017-09-15,27.5,30.22,29.3,27.47,1550495.62,1.74,6.31,26.632,25.544,838738.1,743382.4,574532.8,1.6
000002,2017-09-18,29.01,29.74,28.04,27.99,1063043.0,-1.26,-4.3,27.184,26.052,934792.02,822858.37,613293.33,1.09
000002,2017-09-19,28.27,30.1,28.77,28.1,1196308.5,0.73,2.6,27.886,26.553,1085601.4,888509.92,647902.58,1.23
000002,2017-09-20,28.5,29.55,28.73,28.0,613095.75,-0.04,-0.14,28.48,27.046,1114727.8,913647.54,667446.31,0.63
000002,2017-09-21,28.5,29.06,28.4,27.75,536324.0,-0.33,-1.15,28.648,27.289,991853.37,839822.95,685238.06,0.55
000002,2017-09-22,28.39,28.67,27.81,27.52,423093.12,-0.59,-2.08,28.35,27.491,766372.87,802555.49,682197.79,0.44
000002,2017-09-25,27.2,27.2,26.12,26.1,722702.56,-1.69,-6.08,27.966,27.575,698304.79,816548.4,673409.03,0.74
000002,2017-09-26,26.12,27.22,26.76,26.1,593044.56,0.64,2.45,27.564,27.725,577652.0,831626.7,681230.58,0.61
000002,2017-09-27,27.0,27.28,26.84,26.52,367534.16,0.08,0.3,27.186,27.833,528539.68,821633.74,682747.18,0.38
000002,2017-09-28,27.0,27.15,26.41,26.4,262347.0,-0.43,-1.6,26.788,27.718,473744.28,732798.83,680919.85,0.27
000002,2017-09-29,26.56,26.8,26.25,26.0,345752.69,-0.16,-0.61,26.476,27.413,458276.19,612324.53,677853.47,0.36
000002,2017-10-09,27.45,27.65,26.47,26.24,711737.44,0.22,0.84,26.546,27.256,456083.17,577193.98,700026.17,0.73
000002,2017-10-10,26.4,26.69,26.59,26.19,367101.28,0.12,0.45,26.512,27.038,410894.51,494273.26,691391.59,0.38
000002,2017-10-11,26.69,27.27,26.87,26.47,425997.41,0.28,1.05,26.518,26.852,422587.16,475563.42,694605.48,0.44
000002,2017-10-12,26.99,27.2,27.1,26.72,348979.69,0.23,0.86,26.656,26.722,439913.7,456828.99,648325.97,0.36
000002,2017-10-13,27.2,27.58,26.93,26.81,329928.03,-0.17,-0.63,26.792,26.634,436748.77,447512.48,625033.98,0.34
